,r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,μ,Lowest distortion,As,Ag,Dy,Cu,K,Pu,Cs,Cr,Fe,Gd,Sn,Re,Si,U,Tb,Ba,Co,Er,Mn,Li,Mo,Nd,Ru,Tm,Ce,Au,V,Pr,Mg,Na,B,Ir,Tl,Lu,Sr,La,Te,Th,Zr,Bi,Ta,Eu,Hg,W,Ho,Pd,Ca,Sm,Zn,Pt,Rb,Pb,Ga,Cd,Be,Ti,Sc,Nb,Yb,Al,Rh,Sb,Ge,In,Os,Y,Hf,Ni,As,Ag,Dy,Cu,K,Pu,Cs,Cr,Fe,Gd,Sn,Re,Si,U,Tb,Ba,Co,Er,Mn,Li,Mo,Nd,Ru,Tm,Ce,Au,V,Pr,Mg,Na,B,Ir,Tl,Lu,Sr,La,Te,Th,Zr,Bi,Ta,Eu,Hg,W,Ho,Pd,Ca,Sm,Zn,Pt,Rb,Pb,Ga,Cd,Be,Ti,Sc,Nb,Yb,Al,Rh,Sb,Ge,In,Os,Y,Hf,Ni
94,1.01,0.6799999999999999,0.6699999999999999,0.57,0.20499999999999996,0.4349649455,0.32974720749999986,0.5451499999999999,0.42520112900000007,0.47857142799999997,cubic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1.01,0.6799999999999999,0.36,0.57,0.6099999999999999,0.4349649455,0.13765125899999997,0.7288142855999998,0.54887262,0.257142857,orthorhombic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,1.01,0.6799999999999999,0.43999999999999995,0.57,0.255,0.4349649455,0.20137532849999995,0.6356142855999999,0.5134784860000001,0.31428571400000005,orthorhombic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,1.01,0.6799999999999999,0.8400000000000001,0.57,0.605,0.4349649455,0.3494965244999999,0.5581857141999998,0.37035081299999995,0.6,cubic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1.01,0.6799999999999999,0.63,0.57,0.21999999999999997,0.4349649455,0.31699720750000004,0.5620357141999999,0.43928545600000013,0.44999999999999996,cubic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1.01,0.6799999999999999,0.53,0.57,0.495,0.4349649455,0.26150964499999985,0.6476785714,0.47673696100000007,0.378571428,cubic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,1.01,0.6799999999999999,0.29999999999999993,0.57,0.7050000000000001,0.4349649455,0.192210561,0.7673999999999999,0.5773047090000001,0.21428571400000002,rhombohedral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1.01,0.6799999999999999,1.1099999999999999,0.57,0.014999999999999958,0.4349649455,0.5494227319999998,0.3548357141999999,0.297023622,0.792857143,cubic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1.01,0.6799999999999999,0.76,0.57,0.15500000000000003,0.4349649455,0.37592385650000004,0.5041857141999999,0.3952067290000001,0.542857143,orthorhombic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1.01,0.6799999999999999,0.49,0.57,0.09499999999999997,0.4349649455,0.23544311049999989,0.5886785713999999,0.49268852799999996,0.35,cubic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
